"GE","CST","TNP","TWP","IAP","ARR","MS","LS","AS","FMI","FS","FQ","MQ","FO","MO","NF","SH","SS","ME","TT","ATD","ESP"
"M","G",0.44,0.59,0.5,"Y","Unmarried","V","Free",3145,5,"Il","Il","Farmer","Housewife",7,1,"Govt","Asm",0.5,0.77,"Fail"
"M","SC",0.58,0.41,0.52,"N","Unmarried","V","Paid",3483,3,"Um","10","Business","Housewife",1,1.5,"Govt","Asm",0.75,0.77,"Pass"
"M","MOBC",0.56,0.56,0.57,"Y","Unmarried","V","Paid",11368,11,"12","Um","Service","Housewife",20,5,"Govt","Asm",1.75,0.11,"Pass"
"F","G",0.5,0.5,0.46,"Y","Unmarried","V","Paid",6337,3,"Um","Il","Business","Housewife",2,2.5,"Govt","Eng",0,0.6,"Fail"
"M","OBC",0.36,0.39,0.48,"Y","Unmarried","V","Free",2987,5,"Um","Il","Farmer","Housewife",16,1,"Govt","Eng",0.75,0.77,"Fail"
"F","OBC",0.55,0.56,0.58,"Y","Unmarried","V","Free",8842,6,"10","10","Farmer","Housewife",2,3.5,"Govt","Asm",0.75,0.66,"Fail"
"M","OBC",0.96,0.6,0.6,"Y","Unmarried","V","Paid",10732,5,"12","Um","Business","Housewife",16,1,"Govt","Eng",1,0.61,"Pass"
"F","OBC",0.54,0.45,0.54,"Y","Unmarried","T","Paid",19472,4,"Um","Um","Service","Housewife",10,0.5,"Govt","Eng",0.25,0.28,"Fail"
"M","OBC",0.58,0.57,0.59,"Y","Unmarried","V","Free",9020,2,"Um","Um","Farmer","Housewife",13,2.5,"Govt","Asm",0.5,0.81,"Pass"
"F","ST",0.58,0.58,0.46,"Y","Unmarried","T","Paid",19928,4,"Degree","Il","Service","Housewife",1,1,"Govt","Eng",0.25,0.21,"Pass"
"M","ST",0.57,0.32,0.57,"Y","Unmarried","V","Free",14661,3,"10","10","Farmer","Housewife",4,4,"Private","Asm",2,0.71,"Pass"
"M","G",0.59,0.49,0.46,"N","Unmarried","V","Paid",3005,9,"Um","Um","Farmer","Housewife",9,3,"Private","Eng",0.25,0.79,"Pass"
"F","G",0.34,0.48,0.79,"N","Unmarried","V","Free",3278,10,"Um","Il","Farmer","Housewife",8,2,"Govt","Eng",1,0.8,"Pass"
"F","G",0.6,0.78,0.92,"N","Unmarried","T","Paid",6770,5,"12","10","Service","Housewife",8,5,"Govt","Eng",0.25,0.81,"Pass"
"F","MOBC",0.57,0.47,0.45,"Y","Unmarried","V","Free",3124,10,"Il","Il","Farmer","Housewife",18,0,"Govt","Asm",0.5,0.9,"Fail"
"F","MOBC",0.55,0.68,0.67,"N","Unmarried","V","Free",6191,6,"10","10","Farmer","Housewife",19,3,"Govt","Eng",0,0.75,"Pass"
"F","ST",0.66,0.48,0.55,"Y","Unmarried","V","Paid",5402,2,"10","10","Others","Housewife",20,3.5,"Govt","Asm",0.5,0.87,"Pass"
"M","G",0.5,0.79,0.47,"N","Unmarried","V","Free",3128,3,"Um","Um","Farmer","Housewife",15,3,"Govt","Asm",1.5,0.88,"Pass"
"F","ST",0.5,0.52,0.65,"Y","Unmarried","V","Paid",5981,3,"Um","Il","Service","Housewife",2,1,"Govt","Eng",0.25,0.62,"Pass"
"F","SC",0.44,0.46,0.74,"N","Unmarried","V","Free",10035,1,"10","Um","Business","Service",9,2,"Govt","Asm",0,0.13,"Pass"
"M","ST",0.58,0.52,0.72,"Y","Unmarried","V","Paid",9361,8,"10","12","Farmer","Housewife",20,3.5,"Govt","Eng",0.25,0.81,"Pass"
"M","G",0.52,0.58,0.49,"Y","Unmarried","V","Free",24096,10,"Um","Il","Farmer","Housewife",6,3,"Govt","Eng",0,0.15,"Fail"
"M","MOBC",0.3,0.51,0.77,"Y","Unmarried","V","Free",5589,4,"Um","Il","Business","Housewife",4,6,"Govt","Asm",0.5,0.91,"Pass"
"F","G",0.59,0.59,0.48,"Y","Unmarried","V","Paid",15428,5,"10","10","Business","Housewife",5,3,"Govt","Eng",0.25,0.8,"Fail"
"M","OBC",0.56,0.55,0.72,"Y","Unmarried","V","Free",3042,1,"Um","Um","Farmer","Housewife",14,4,"Govt","Asm",0.5,0.91,"Pass"
"M","ST",0.69,0.79,0.6,"Y","Unmarried","V","Paid",8248,1,"Degree","12","Farmer","Housewife",14,0,"Govt","Eng",1,0.98,"Pass"
"F","G",0.53,0.38,0.58,"N","Married","T","Paid",10527,9,"Um","Um","Others","Housewife",2,3.5,"Govt","Asm",1.25,0.91,"Fail"
"M","ST",0.32,0.55,0.58,"Y","Unmarried","V","Paid",14972,8,"Il","Il","Farmer","Housewife",3,3.5,"Govt","Asm",0.75,0.73,"Fail"
"M","OBC",0.5,0.5,0.42,"N","Unmarried","V","Paid",6777,2,"Il","Il","Others","Housewife",18,6,"Govt","Asm",0.5,0.83,"Pass"
"F","ST",0.59,0.51,0.59,"N","Unmarried","V","Free",14662,1,"Um","Um","Others","Housewife",11,2.5,"Private","Asm",0.5,0.68,"Pass"
"F","SC",0.61,0.95,0.77,"N","Unmarried","V","Free",4442,1,"Um","Um","Others","Housewife",1,2.5,"Govt","Asm",1,0.7,"Pass"
"M","OBC",0.41,0.31,0.47,"N","Unmarried","V","Free",9456,5,"Um","Um","Service","Housewife",6,2.5,"Govt","Asm",0.25,0.66,"Fail"
"M","OBC",0.35,0.67,0.68,"Y","Unmarried","V","Free",26304,3,"Il","Um","Others","Others",18,4.5,"Govt","Asm",0.75,0.46,"Fail"
"M","ST",0.38,0.35,0.57,"Y","Unmarried","V","Free",3345,8,"Um","Um","Service","Housewife",10,3,"Govt","Asm",1.25,0.71,"Fail"
"M","G",0.46,0.32,0.49,"N","Unmarried","T","Free",11629,13,"Um","Um","Business","Housewife",11,2.5,"Govt","Asm",0.25,0.7,"Fail"
"M","G",0.78,0.58,0.6,"N","Unmarried","V","Free",4344,7,"Um","Um","Farmer","Housewife",1,0.5,"Govt","Eng",1.5,0.64,"Pass"
"M","MOBC",0.36,0.35,0.47,"Y","Unmarried","V","Free",3798,3,"Il","Il","Service","Housewife",5,3,"Govt","Asm",1,0.97,"Fail"
"F","ST",0.57,0.54,0.55,"Y","Unmarried","V","Free",4807,8,"Il","Il","Farmer","Housewife",6,1,"Govt","Asm",1,0.17,"Pass"
"F","OBC",0.74,0.71,0.71,"Y","Unmarried","T","Free",16115,3,"Pg","12","Business","Service",12,6,"Private","Asm",0.25,0.8,"Pass"
"F","ST",0.66,0.72,0.73,"N","Unmarried","V","Free",25796,2,"Um","Um","Farmer","Housewife",11,6,"Private","Asm",1.25,0.79,"Pass"
"F","MOBC",0.74,0.91,0.68,"N","Unmarried","V","Free",3606,4,"Um","10","Farmer","Housewife",11,4,"Govt","Asm",0.5,0.92,"Pass"
"M","OBC",0.4,0.56,0.49,"N","Unmarried","V","Free",2552,4,"10","Um","Farmer","Housewife",4,1,"Govt","Asm",1.25,0.69,"Fail"
"M","G",0.52,0.54,0.74,"N","Unmarried","T","Paid",43590,5,"12","10","Business","Housewife",9,3,"Govt","Eng",0,0.17,"Pass"
"F","G",0.78,0.57,0.77,"N","Unmarried","V","Paid",9614,6,"12","Um","Business","Housewife",16,0,"Govt","Eng",0,0.86,"Pass"
"F","MOBC",0.62,0.78,0.46,"N","Unmarried","V","Free",4791,2,"Il","Il","Others","Housewife",19,3.5,"Govt","Asm",1,0.67,"Pass"
"F","ST",0.66,0.71,0.61,"N","Unmarried","V","Paid",9551,4,"Pg","12","Business","Housewife",12,0.5,"Private","Eng",0,0.87,"Pass"
"M","OBC",0.69,0.57,0.64,"Y","Unmarried","V","Free",3153,1,"Il","Il","Service","Housewife",5,1,"Private","Asm",0.75,0.67,"Fail"
"F","ST",0.74,0.73,0.47,"Y","Unmarried","V","Free",9144,4,"10","Um","Service","Others",11,2.5,"Private","Asm",0.25,0.64,"Pass"
"F","OBC",0.59,0.51,0.55,"N","Unmarried","V","Free",6817,8,"Um","Il","Farmer","Service",2,3,"Private","Eng",1,0.64,"Pass"
"F","G",0.71,0.79,0.75,"N","Unmarried","T","Paid",9962,11,"Il","Il","Business","Housewife",15,0.5,"Govt","Eng",1,0.67,"Pass"
"M","OBC",0.3,0.38,0.35,"Y","Unmarried","V","Free",3690,1,"Il","Il","Service","Housewife",8,3,"Govt","Asm",0,0.62,"Fail"
"M","OBC",0.45,0.51,0.45,"Y","Unmarried","V","Paid",24183,6,"12","Um","Service","Housewife",6,2.5,"Govt","Asm",0,0.66,"Fail"
"M","ST",0.58,0.51,0.32,"Y","Unmarried","V","Free",8079,2,"12","Um","Farmer","Housewife",10,2,"Govt","Asm",1,0.47,"Fail"
"F","G",0.38,0.33,0.59,"Y","Unmarried","V","Free",9535,3,"10","Um","Business","Housewife",9,3.5,"Govt","Asm",0,0.29,"Fail"
"M","SC",0.44,0.33,0.56,"N","Unmarried","V","Paid",5536,4,"Um","Um","Farmer","Housewife",10,3,"Govt","Asm",0.75,0.61,"Pass"
"M","OBC",0.48,0.56,0.76,"Y","Unmarried","V","Paid",3496,3,"12","12","Farmer","Housewife",19,3.5,"Govt","Eng",0,0.98,"Pass"
"M","G",0.41,0.58,0.65,"Y","Unmarried","V","Free",9474,1,"Um","Um","Farmer","Housewife",8,2,"Govt","Asm",0.75,0.98,"Fail"
"M","OBC",0.43,0.48,0.51,"N","Unmarried","V","Free",20959,3,"Il","Il","Farmer","Housewife",8,5,"Govt","Asm",0.5,0.72,"Pass"
"F","OBC",0.57,0.32,0.56,"N","Unmarried","V","Paid",9405,9,"12","Um","Farmer","Housewife",7,3.5,"Private","Asm",0,0.97,"Pass"
"M","MOBC",0.38,0.61,0.67,"N","Unmarried","V","Free",5771,3,"Il","Il","Service","Housewife",17,3.5,"Private","Asm",0.25,0.61,"Pass"
"F","OBC",0.79,0.63,0.51,"Y","Unmarried","V","Free",16462,11,"12","10","Others","Housewife",4,2.5,"Private","Asm",0.75,0.72,"Pass"
"F","ST",0.48,0.47,0.55,"N","Unmarried","V","Paid",2662,8,"Um","Il","Service","Housewife",5,1.5,"Govt","Eng",0.25,0.26,"Pass"
"F","G",0.56,0.37,0.55,"Y","Unmarried","V","Free",6935,2,"Um","Il","Business","Housewife",4,2.5,"Govt","Eng",0,0.85,"Fail"
"F","OBC",0.53,0.51,0.54,"Y","Unmarried","V","Free",9286,4,"10","10","Farmer","Housewife",11,2,"Govt","Asm",0.75,0.73,"Fail"
"M","OBC",0.35,0.32,0.54,"Y","Unmarried","V","Paid",2973,4,"10","10","Service","Housewife",15,3,"Govt","Asm",0.5,0.3,"Fail"
"F","ST",0.59,0.63,0.58,"N","Unmarried","V","Free",12846,3,"Degree","Um","Others","Housewife",5,2.5,"Govt","Eng",1,0.79,"Pass"
"F","OBC",0.45,0.45,0.51,"Y","Unmarried","V","Free",4308,2,"Um","Um","Farmer","Housewife",7,3.5,"Govt","Asm",2,0.81,"Fail"
"F","G",0.47,0.59,0.64,"Y","Unmarried","V","Free",9358,11,"Il","Il","Farmer","Housewife",7,5.5,"Govt","Eng",0.75,0.99,"Fail"
"F","OBC",0.59,0.51,0.46,"N","Unmarried","V","Paid",6276,4,"Um","10","Farmer","Housewife",2,3.5,"Govt","Asm",0.25,0.94,"Pass"
"F","OBC",0.47,0.56,0.57,"N","Unmarried","V","Free",6971,3,"Um","Um","Farmer","Housewife",10,0.5,"Govt","Asm",0.25,0.65,"Fail"
"M","G",0.59,0.52,0.74,"N","Unmarried","V","Paid",10214,7,"10","12","Service","Housewife",17,1,"Private","Asm",0.25,0.85,"Pass"
"M","G",0.5,0.58,0.45,"N","Unmarried","T","Free",7494,3,"12","12","Service","Housewife",1,3.5,"Govt","Asm",0.25,0.65,"Pass"
"F","MOBC",0.35,0.5,0.49,"N","Unmarried","V","Free",13180,2,"Um","Um","Business","Housewife",5,2.5,"Govt","Asm",0.5,0.89,"Fail"
"M","OBC",0.59,0.45,0.56,"N","Unmarried","T","Paid",21697,7,"Um","Um","Business","Housewife",20,1,"Private","Eng",0,0.56,"Pass"
"F","OBC",0.44,0.41,0.49,"N","Unmarried","V","Paid",4745,4,"10","Il","Others","Housewife",8,2.5,"Govt","Eng",0.25,0.6,"Pass"
"F","OBC",0.74,0.53,0.71,"Y","Unmarried","V","Paid",6808,4,"10","Um","Farmer","Housewife",13,3,"Govt","Eng",0,0.82,"Pass"
"F","MOBC",0.35,0.59,0.76,"Y","Unmarried","V","Free",6099,5,"10","10","Business","Housewife",3,3.5,"Private","Asm",1.25,0.53,"Fail"
"F","MOBC",0.45,0.61,0.79,"Y","Unmarried","V","Free",4679,6,"Il","Il","Farmer","Housewife",15,2,"Govt","Eng",0.25,0.97,"Pass"
"F","OBC",0.58,0.55,0.76,"N","Unmarried","V","Free",23390,2,"Um","Um","Others","Housewife",11,4,"Govt","Asm",1.75,0.3,"Pass"
"M","OBC",0.46,0.53,0.72,"Y","Unmarried","V","Free",9650,7,"Il","Il","Service","Housewife",6,2,"Govt","Asm",0.75,0.37,"Pass"
"M","OBC",0.32,0.52,0.48,"Y","Unmarried","V","Free",28297,5,"Um","Um","Service","Housewife",6,0,"Govt","Asm",2,0.78,"Fail"
"F","MOBC",0.76,0.52,0.51,"Y","Unmarried","V","Paid",2557,4,"12","10","Others","Housewife",5,5.5,"Govt","Asm",1,0.8,"Pass"
"M","MOBC",0.57,0.54,0.75,"Y","Unmarried","V","Paid",6776,5,"Um","Um","Farmer","Housewife",19,2,"Private","Eng",0.25,0.15,"Fail"
"F","G",0.33,0.57,0.46,"N","Unmarried","V","Free",6245,3,"Um","Um","Business","Housewife",11,1.5,"Govt","Asm",0,0.6,"Pass"
"F","ST",0.41,0.58,0.67,"Y","Unmarried","V","Paid",12506,11,"10","Il","Business","Housewife",20,2.5,"Govt","Eng",1,0.58,"Pass"
"F","MOBC",0.44,0.51,0.46,"N","Unmarried","V","Free",15566,3,"10","10","Farmer","Housewife",2,2.5,"Govt","Asm",0.25,0.44,"Pass"
"F","MOBC",0.59,0.55,0.51,"N","Unmarried","V","Free",2932,17,"Il","Il","Service","Housewife",12,2,"Govt","Asm",0,0.78,"Pass"
"M","G",0.63,0.73,0.65,"N","Unmarried","T","Paid",18182,2,"12","Il","Service","Housewife",10,1,"Govt","Eng",0,0.62,"Pass"
"F","MOBC",0.52,0.53,0.71,"N","Unmarried","T","Paid",15992,6,"12","Il","Service","Housewife",6,3,"Govt","Asm",0,0.62,"Pass"
"F","OBC",0.38,0.31,0.51,"N","Unmarried","T","Free",2611,5,"10","12","Business","Housewife",17,3.5,"Govt","Asm",0,0.74,"Fail"
"M","MOBC",0.51,0.61,0.76,"Y","Unmarried","V","Free",3745,11,"Il","Il","Farmer","Housewife",10,2,"Govt","Asm",0.5,0.87,"Pass"
"F","MOBC",0.5,0.59,0.46,"N","Unmarried","V","Free",22974,4,"Degree","Um","Farmer","Housewife",7,4,"Govt","Asm",0.5,0.95,"Pass"
"F","SC",0.48,0.63,0.55,"Y","Unmarried","V","Free",3131,4,"Um","Il","Farmer","Housewife",5,2.5,"Govt","Asm",0.5,0.75,"Fail"
"M","G",0.37,0.48,0.57,"N","Unmarried","V","Free",3916,2,"Um","Um","Others","Others",13,0.5,"Govt","Hin",0.5,0.51,"Pass"
"M","MOBC",0.54,0.5,0.54,"Y","Unmarried","V","Free",2791,2,"12","Um","Farmer","Housewife",12,2,"Govt","Asm",1.5,0.32,"Pass"
"F","G",0.52,0.47,0.5,"Y","Unmarried","V","Paid",5475,2,"12","10","Farmer","Housewife",2,2.5,"Govt","Asm",1,0.7,"Fail"
"M","G",0.45,0.54,0.57,"Y","Unmarried","V","Free",2716,1,"Um","Um","Farmer","Housewife",1,3,"Private","Asm",0.5,0.79,"Fail"
"F","OBC",0.38,0.47,0.31,"Y","Unmarried","V","Free",3078,11,"Il","Um","Others","Service",6,1.5,"Govt","Asm",2,0.66,"Fail"
"F","MOBC",0.54,0.62,0.77,"Y","Unmarried","V","Free",3801,7,"Um","Um","Farmer","Housewife",11,4,"Govt","Asm",1.75,0.23,"Fail"
"F","SC",0.75,0.62,0.61,"N","Unmarried","V","Paid",8519,1,"Pg","Pg","Retired","Service",2,5,"Govt","Asm",0,0.85,"Pass"
"F","ST",0.66,0.69,0.78,"N","Unmarried","T","Paid",11433,7,"Pg","Pg","Business","Service",20,2,"Private","Asm",0.75,0.21,"Pass"
"M","ST",0.47,0.37,0.49,"Y","Unmarried","V","Free",5877,3,"Um","Um","Farmer","Housewife",18,3,"Private","Asm",0.5,0.61,"Fail"
"F","OBC",0.45,0.59,0.46,"N","Unmarried","T","Paid",53823,11,"12","Um","Service","Housewife",14,1,"Govt","Asm",0,0.9,"Pass"
"M","OBC",0.7,0.65,0.67,"N","Unmarried","V","Free",15008,11,"Um","Um","Farmer","Housewife",12,4,"Govt","Asm",0.75,0.98,"Pass"
"F","G",0.45,0.45,0.6,"N","Unmarried","V","Paid",9626,2,"10","10","Business","Housewife",10,1.5,"Govt","Asm",0.25,0.75,"Pass"
"F","MOBC",0.56,0.55,0.58,"N","Unmarried","V","Free",21566,5,"Um","Um","Farmer","Housewife",6,2.5,"Private","Asm",1,0.68,"Pass"
"F","OBC",0.44,0.43,0.47,"Y","Unmarried","V","Free",2628,1,"Um","Il","Farmer","Housewife",5,2,"Private","Eng",0.25,0.62,"Fail"
"M","MOBC",0.55,0.52,0.53,"Y","Unmarried","T","Free",7067,2,"12","10","Business","Housewife",20,3,"Govt","Asm",1.25,0.12,"Pass"
"F","OBC",0.55,0.45,0.45,"Y","Unmarried","V","Free",6533,3,"Um","Um","Business","Housewife",9,1.5,"Govt","Eng",0,0.77,"Fail"
"F","OBC",0.7,0.78,0.62,"N","Unmarried","V","Paid",27150,11,"12","Um","Service","Housewife",16,4,"Private","Eng",0,0.94,"Pass"
"M","MOBC",0.34,0.45,0.56,"Y","Unmarried","V","Free",6026,3,"12","12","Farmer","Housewife",7,6,"Private","Asm",1.25,0.96,"Fail"
"F","G",0.5,0.49,0.59,"N","Unmarried","T","Free",8854,10,"Degree","12","Business","Housewife",8,4,"Govt","Asm",0.5,0.72,"Pass"
